,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ores,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Mfg of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxilliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public admn. & defence
"Medical precision, optical instrument", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,02,849.30 "," 97,877.82 ", -   ," 1,99,247.56 "," 10,06,584.47 "," 7,56,722.27 "," 8,22,417.59 ", -   , -   , -   , -   ," 47,972.58 "," 41,529.24 ", -   , 0.01 , -   , -   ," 17,08,192.84 "," 10,287.29 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Watches and clocks, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,77,139.43 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.01 , -   , -   , 967.23 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Ships and boats, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," -19,618.63 ", -   , -   , -   , -   , -   ," -1,18,764.88 "," -15,91,462.08 ", -   , -   , -   , -   , -   , -   , -0.01 , -   , -   , -   , -54.77 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Rail equipment, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 61,610.44 ", -   , -   , -   , -   ," 1,34,762.59 "," 48,235.32 "," 8,12,417.42 ", -   , -   , -   , -   ," 9,074.85 ", -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Motor vehicles, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,94,423.53 ", -   , -   , -   , -   ," 1,16,021.06 "," 12,68,464.45 "," 5,64,76,803.44 ", -   , -   , -   ," 1,06,491.43 ", -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Motor cycles and scooters, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,938.13 ", -   , -   , -   , -   , -   ," 1,66,920.48 "," 1,62,85,288.90 ", -   , -   , -   ," 42,455.13 ", -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Bicycles, cycle-rickshaw", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 13,006.39 ", -   , -   , -   , -   , -   ," 65,805.74 "," 43,21,793.42 ", -   , -   , -   ," 12,042.22 ", -   , -   , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Aircrafts & Spacecrafts, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -117.19 ," -14,21,437.28 ", -   , -   , -   , -   , -   , -   , -0.02 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other transport equipment, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,77,337.01 ", -   , -   , -   , -   , -   ," 2,53,140.86 "," 30,51,758.82 ", -   , -   , -   , -   , -   ," 22,896.83 ", 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Gems & jewellery, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," -60,779.19 ", -   , -   , -   ," -20,37,943.49 "," -2,405.66 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," -93,593.48 ", -   , -0.01 , -   , -   ," -1,30,20,395.14 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Miscellaneous manufacturing, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8.83 , 2.42 ," 3,921.19 ", -   , -   ," 56,705.10 "," 7,549.46 "," 53,755.97 ", -   ," 1,28,535.23 "," 30,33,451.84 "," 2,220.10 "," 45,735.96 "," 6,697.62 "," 9,220.41 "," 53,216.84 "," 4,44,060.43 "," 14,88,867.68 "," 23,060.32 "," 1,94,641.18 ", 518.61 ," 2,26,599.81 "," 3,46,285.81 "," 2,81,239.89 "," 65,619.37 "," 65,932.22 "," 69,343.09 "," 7,59,322.51 "," 15,082.40 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Construction and construction services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 180.63 , 88.46 ," 1,932.25 "," 9,799.07 "," 5,276.89 "," 2,386.17 "," 12,582.76 ", -   , -   ," 1,35,813.21 "," 1,825.76 "," 2,425.77 ", -   , -   , -   , -   , 14.70 ," 36,755.76 "," 26,253.89 "," 11,61,648.00 "," 10,241.00 ", 1.69 , 479.48 ," 14,555.85 ", 0.61 ," 3,759.40 ", -   , -   , 175.26 , -   ," 39,33,01,800.39 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Electricity, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 12,251.44 ", 881.17 ," 15,301.56 "," 5,25,377.57 "," 25,446.38 "," 7,576.70 "," 1,16,429.52 "," 6,731.66 "," 2,118.53 "," 10,90,094.22 "," 1,01,729.67 "," 35,765.93 ", 21.24 , 0.00 , -   , 8.13 ," 63,346.97 "," 49,246.26 "," 44,472.68 "," 1,20,093.44 "," 59,674.63 "," 3,666.18 "," 38,202.28 "," 2,95,316.98 ", 50.71 ," 10,254.78 ", 357.52 , 673.14 ," 2,342.13 ", -   , -   ," 8,06,59,908.10 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Gas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 41,262.86 "," 5,992.50 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,35,32,536.16 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Water Supply," 72,40,514.08 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 34,903.40 "," 9,180.10 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 299.91 ," 66,141.46 ", -   , -   , -   , -   ," 16,096.62 ", -   , -   , -   , -   , -   , -   , -   ," 1,04,88,845.95 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Trade, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,89,766.31 "," 3,18,270.93 "," 12,58,772.17 "," 6,03,635.02 "," 3,37,759.92 "," 95,465.29 "," 20,48,205.41 "," 2,13,982.37 "," 1,79,198.35 "," 15,59,845.99 "," 90,754.03 "," 8,17,227.73 "," 8,71,667.39 "," 1,73,086.25 "," 1,54,253.27 "," 25,660.86 "," 6,28,664.32 "," 13,47,347.79 "," 28,26,140.76 "," 7,20,524.11 "," 16,27,001.24 "," 7,59,626.15 "," 3,61,821.48 "," 9,72,132.19 "," 6,23,443.78 "," 1,10,352.09 "," 1,83,194.38 "," 5,99,153.98 "," 2,81,603.22 "," 3,05,535.58 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,29,60,321.55 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Repair & Maintenace of Motor Vehicle, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,89,378.89 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Hotels & Restaurant, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,95,74,405.55 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Railway Transport, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,89,91,670.85 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Land transport, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 11,39,33,586.93 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Air transport, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 70,34,178.06 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Water Transport, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," -25,26,531.32 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Supportive and Auxiliary transport activities, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,46,23,780.58 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Storage and warehousing, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,68,034.01 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Communication services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 6,47,15,017.31 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Financial services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,89,66,917.46 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Insurance services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,75,54,412.42 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Ownership of dweiilngs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 11,32,05,398.55 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Real estate services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,219.63 "," 2,322.13 "," 5,673.83 "," 5,508.65 "," 53,741.36 ", 743.67 ," 7,301.14 ", 933.68 , 981.73 ," 76,753.64 "," 41,903.25 "," 11,703.66 "," 27,210.40 ", 545.52 ," 13,297.67 ", 804.86 ," 5,304.68 "," 1,33,304.18 "," 5,961.10 "," 41,275.16 "," 56,307.62 "," 25,061.69 "," 4,106.80 "," 7,479.28 "," 1,012.48 "," 5,443.70 "," 12,731.31 ", 163.41 ," 4,07,248.18 "," 4,569.10 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,37,27,787.32 ", -   , -   , -   , -   
Renting of machinery & equipment, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 46,30,834.22 ", -   , -   , -   
Research & Development Services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 75,77,656.51 ", -   , -   , -   , -   , -   
Legal services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 84,54,980.08 ", -   , -   , -   , -   , -   , -   , -   
Other Business services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," -50,28,589.14 ", -   , -   , -   , -   , -   
Computer related services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 81,60,201.01 ", -   , -   , -   , -   , -   , -   
Public administration and defence, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 12,12,95,839.35 "
Education services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 6,61,22,372.91 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Human health and social care services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,41,53,502.00 ", -   , -   , -   , -   , -   , -   , -   , -   
"Community, social and personal services", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,71,64,971.85 ", -   , -   
"Recreation, entertainment and radio & TV broadcasting  and other services", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,86,83,195.70 ", -   
